"","date","year","sex","education","vocabulary"
"1",19870607,1987,"Female",12,5
"2",19900423,1990,"Female",14,7
"3",19962610,1996,"Female",17,6
"4",20141153,2014,"Male",14,5
"5",19840045,1984,"Female",12,8
"6",20140694,2014,"Male",14,5
"7",20160273,2016,"Female",16,5
"8",20002520,2000,"Female",12,3
"9",20000458,2000,"Male",12,2
"10",19760451,1976,"Female",11,3
"11",19840179,1984,"Male",9,6
"12",19821050,1982,"Female",15,6
"13",20041277,2004,"Male",12,6
"14",19900988,1990,"Male",16,8
"15",20080599,2008,"Female",16,7
"16",19941982,1994,"Female",12,7
"17",20060520,2006,"Male",14,7
"18",20162467,2016,"Female",20,9
"19",19900799,1990,"Female",12,5
"20",20081001,2008,"Female",14,7
"21",20142344,2014,"Female",13,7
"22",19840376,1984,"Female",13,5
"23",20001875,2000,"Male",16,6
"24",19780957,1978,"Male",12,2
"25",19870657,1987,"Male",13,6
"26",19901087,1990,"Female",12,3
"27",19740415,1974,"Male",8,8
"28",19900905,1990,"Male",14,6
"29",20121269,2012,"Male",20,9
"30",19890431,1989,"Male",15,5
"31",19941218,1994,"Male",6,4
"32",19981323,1998,"Female",12,6
"33",19941765,1994,"Female",9,1
"34",19821354,1982,"Male",17,7
"35",20101351,2010,"Female",11,0
"36",20040144,2004,"Female",16,9
"37",20081862,2008,"Male",12,9
"38",19780402,1978,"Female",12,4
"39",20061013,2006,"Female",17,6
"40",19910934,1991,"Female",14,8
"41",20101050,2010,"Female",14,5
"42",20001555,2000,"Male",12,2
"43",20081252,2008,"Female",12,3
"44",19961635,1996,"Female",13,7
"45",19960540,1996,"Female",17,8
"46",20081586,2008,"Male",12,6
"47",19740723,1974,"Female",12,7
"48",19940973,1994,"Male",5,3
"49",20061855,2006,"Female",12,7
"50",20041562,2004,"Male",20,9
"51",19940990,1994,"Female",12,4
"52",20120852,2012,"Male",17,8
"53",19930674,1993,"Male",2,1
"54",19841407,1984,"Male",9,5
"55",19760735,1976,"Male",8,2
"56",19780136,1978,"Female",9,3
"57",19880713,1988,"Male",16,5
"58",19942987,1994,"Male",14,5
"59",20002523,2000,"Female",13,3
"60",19910701,1991,"Female",14,5
"61",20141281,2014,"Male",12,5
"62",19872050,1987,"Female",12,6
"63",19940059,1994,"Female",19,8
"64",19890017,1989,"Female",16,5
"65",20001773,2000,"Female",13,5
"66",19870357,1987,"Female",9,6
"67",19941027,1994,"Female",14,7
"68",20080364,2008,"Female",8,6
"69",19761420,1976,"Female",12,5
"70",20121476,2012,"Male",12,3
"71",19890347,1989,"Female",14,9
"72",20101842,2010,"Male",7,2
"73",19890697,1989,"Male",12,2
"74",19890083,1989,"Female",10,2
"75",19940917,1994,"Male",20,6
"76",20140290,2014,"Male",14,3
"77",20120957,2012,"Female",12,6
"78",19901241,1990,"Male",12,4
"79",20080909,2008,"Female",8,6
"80",20160897,2016,"Male",12,3
"81",19930489,1993,"Male",14,4
"82",20042725,2004,"Male",1,2
"83",19910361,1991,"Male",16,8
"84",19881152,1988,"Male",10,8
"85",20064191,2006,"Male",18,6
"86",19840059,1984,"Female",13,7
"87",20042652,2004,"Male",12,7
"88",19780831,1978,"Female",8,5
"89",19841422,1984,"Female",8,1
"90",19781504,1978,"Male",10,4
"91",19841238,1984,"Female",6,5
"92",19760357,1976,"Male",6,4
"93",20001179,2000,"Male",16,9
"94",20121488,2012,"Male",16,9
"95",20080977,2008,"Male",16,4
"96",20081937,2008,"Male",15,5
"97",19931458,1993,"Female",12,8
"98",19910845,1991,"Male",12,3
"99",20100537,2010,"Female",18,9
"100",19981606,1998,"Female",18,8
"101",20001955,2000,"Female",15,5
"102",19890994,1989,"Male",13,5
"103",19870738,1987,"Male",6,4
"104",20162377,2016,"Female",12,6
"105",20000616,2000,"Male",18,8
"106",19840391,1984,"Male",18,8
"107",19781069,1978,"Male",14,5
"108",19940971,1994,"Female",12,5
